,0
0,"गिनी मेको ९ % धितोपत्रहरूले १२-वर्षको औसत जीवनमा ९.३२ % आम्दानी गरिरहेका थिए ।
"
1,"सदस्यताको मूल्य अहिले ४००,००० डलर प्रस्ताव गरिएको छ , ४२५,००० डलर माग गरिएको थियो ।
"
2,"यसलाई नष्‍‌ट गर , "" उहाँ भन्‍‌नुहुन्छ ।
"
3,"मानिसहरू छरछिमेकमा बस्ने धेरै कारणहरू छन्।
"
4,"ह्यामासर स्लेमर एन्ड कम्पनीले प्रकाश-रेशा क्रिस्मस वृक्ष बिक्री गर्दछ जसले बत्ती झुन्ड्याउने आवश्यकताबाट मुक्ति दिन्छ ।
"
5,"प्रत्येक धर्मको आफ्नै मूल्य र मान्यताहरू हुन्छन्।
"
6,"शर्तहरू सार्वजनिक गरिएका छैनन् ।
"
7,"विगतमा मतदान गर्ने न्यूनतम उमेर एक्काइ वर्ष तोकिएको थियो।
"
8,"देशमा केही वर्षदेखि गैर  सरकारी संस्था र सामुदायिक सङ्धठनहरु ग्रामीण विकासमा प्रभावकारी रुपमा संलग्न हुँदै आएको तथ्यलाई दृष्टिगत गरी आठौं योजनामा यस्ता संस्थाहरुलाई विकास कार्यमा बढी से बढी संलग्न गराइनेछ।
"
9,"खोजले सम्भवतः तिनीहरूलाई समर्थन गर्नेछ जो संयुक्त राज्य अमेरिकाले धेरैजसो स्कुल र अन्य भवनहरूमा फेला परेका क्रिसोटाइल जस्ता सामान्य प्रकारका अस्बेस्टसलाईभन्दा अत्यधिक मात्रामा क्रोसिडोलाइट रहेका अस्बेस्टसको वर्गलाई नियन्त्रण गर्नुपर्छ भनेर तर्क गर्दछन् , डा. टाल्कोटले भन्नुभयो ।
"
10,"त्यति धेरै लोकप्रिय अभ्यास नभए पनि कामकाजी बयस्कहरूले समेत घरमै बनाएको खानेकुरा ल्याउन सक्छन्।
"
11,"आजकल यसको प्रयोग धेरधेरै एकड जमिनमा बिउबिजन छर्नका लागि पनि प्रयोग गरिन्छ।
"
12,"तर यस्तो सुधारको फलस्वरुप अर्थतन्त्रमा स्थायित्व कायम गर्न मद्दत मिल्न जाँदा पछिल्ला वर्षहरुमा भने मूल्य स्फीतिको दरलाई कम गराउन मद्दत मिल्नेछ।
"
13,"अहिलेको अवस्थामा , कङ्ग्रेस रेगन प्रशासनपछि ह्वाइट हाउसले विनियोजन विधेयकमा रहेको असंवैधानिक प्रावधानलाई जस्ताको तस्तै रहन दिन्छ भन्ने ठान्दछ ।
"
14,"हेरचाह गर्नुले कतिपय अवस्थामा ठूलो सहायता पुग्दछ र छरछिमेकीहरूलाई सानो वा ठूलो मदत पुग्दछ।
"
15,"स्थानीय तहका निकायहरुलाई अधिकारको विकेन्द्रीकरण  थिएन।
"
16,"निरन्तर प्रवाहित हुने हावाबाट निस्कने विभिन्न किसिमका आवाज सुन्दा मलाई सधैं डर लागिरहन्छ।
"
17,"आफ्नो दूरवीन लिनुहोस् र अदभूत अनुभवका लागि हेर्नुहोस्।
"
18,"हामीमध्ये धेरैजसो बाफमा पकाइएका वा सेकाइएका खानेकुराको साटो तारिएका र तैलीय प्रकृतिका खानेकुराहरूको माग गर्न प्रवृत्त हुन्छौं।
"
19,"न्युयोर्कको एल्डर्स फ्युचर्समा अनुसन्धान उपाध्यक्ष विलियम ओनेलका अनुसार व्यापारीहरूले बढी लगानी स्थायीत्त्व खोजी गर्ने हुनाले अहिले डलरभन्दा बहुमूल्य धातुहरू , विशेष गरेर सुन ,  स्टक बजार परिभ्रमणबाट बढी प्रभावित भइरहेका छन् ।
"
20,"श्री मायोरको `` प्रेस स्वतन्त्रता '' को प्रसङ्ग अपरिमार्जित रहिरहन्छ भन्ने आशा असफल भएको देखिन्छ ; हालको नारा `` अनुचित दखलबाट अलग रहन जनसाधारण र आमसञ्चारलाई शिक्षा '' हो । 
"
21," एउटा अष्ट्रेलियन औषधि कम्पनी एफ.एच. फउल्डिङ एन्ड कम्पनीले यसको सम्बन्धन प्राप्त मोलिक्युलन इन्कर्पोरेटिडले कालिफर्मा इन्कर्पोरेटिडलाई २३ मिलियन डलरमा अभिग्रहण गर्यो ।
"
22,"परिक्षा-तयारी सामाग्रीहरूको बिक्री तथ्याङ्‍क अज्ञात छ तर विद्यालयमा तिनीहरूको उल्लेखनिय पहुँच छ ।
"
23,"यसले राष्ट्रपतिलाई सिनेटको स्वीकृतिविना रिक्त स्थानमा नियुक्ति गर्ने अधिकार पनि दिन्छ : `` राष्ट्रपतिलाई आउँदो अधिवेशनको अन्त्यमा समाप्त हुने अधिकार प्रदान गरी सिनेटको बैठक नबसेको समयमा हुने सबै रिक्त पदमा नियुक्ती गर्ने अधिकार पनि हु‍नेछ । ""
"
24,"नेक (NEC) ले `` समाजमा समस्या सिर्जना गरेकोमा हामी माफी चाहन्छौँ '' उल्लेख भएको वक्तव्य प्रकाशित गर्‍यो , प्रतिकूल परिस्थितिबाट गुज्रेका कम्पनीहरूका लागि जापानमा प्रचलित माफीको एउटा स्वरूप ।
"
25,"सस्तो एवं सरल उर्जा श्रोतको अभावमा वन जङ्धल लगायत अन्य परम्परागत उर्जा स्रोतको निर्भरतामा तुरुन्त ठूलो कमी ल्याउन सकिने देखिँदैन।
"
26,"यो वर्षौँमा एकपटक मात्र तयार गरिन्छ जब अङ्‍गुर पूर्णरूपमा पाक्छ -- पछिल्लो समय १९७९ थियो -- र एउटै क्षेत्रका अङ्‍गुरबाट उत्पादन हुन्छ जसले १९८७ मा केवल ७५ बाकस मात्र उत्पादन गर्‍यो ।
"
27,"`` वाणिज्य र वित्तमा सेयर दलाल एउटा पेशाको उदाहरण हो ... .
"
28,"आवाज निश्चित माध्यमबाट विभिन्न गरित हावाका माध्यमबाट सञ्चरित हुन सक्छ
"
29,"बाँचेका पाँच कामदारहरूमध्ये हालै क्यान्सरको निदान भएका तीनजनासमेत चारजनालाई अस्बेस्टोससम्बन्धी रोग लागेको छ ।
"
30,"राष्ट्रपतिको कर्तव्य र धारा २ अन्तर्गतको विशेषाधिकारमाथि अतिक्रमण गर्ने विनियोजन विधेयकको अतिरिक्त दफाको अवच्छेदन स्वप्रकरणको विशेषाधिकारभन्दा बेग्लै हुन्छ ।
"
31,"असक्षम सरकारी संस्थानहरु :  सरकारी क्षेत्रका संस्थानहरु अझ बढी असक्षम, उदासीन र विरक्तिपूर्ण अवस्थामा  पुगे।
"
32,"दुवै करारहरूले १९८७ को विश्‍‌वव्यापी बजार असफलतादेखि निम्‍‌नानुसारको लाभ प्राप्‍‌त गरेको छन् ।
"
33,"तर भएन । ''
"
34,"फ्रान्सले उच्‍च मुल्यको बोतलको ठूलो हिस्सालाई बढाइचढाइ गर्न सक्‍छ ।
"
35,"रेल यातायाततर्फ त झन प्रगति शून्य नै रहेको थियो।
"
36,"सरकारी नीति प्रोत्साहनमुखी भन्दा नियन्त्रणमुखी भएको र उपयुक्त वातावरणको सृजना हुन नसकेकोले विदेशी लगानी पनि आकर्षित हुन सकेन।
"
37,"बिक्री २० % घटेर ७२२ मिलियन पुग्यो ।
"
38,"यसरी यस कालमा अन्य यातायातको विकासतर्फ खास प्रगति हासिल गर्न सकेको देखिदैन।
"
39,"र उपभोक्ता समूहहरूले न्यायाधीस करीको बाइरन १ आदेशले कमनवेल्थ एडिसनको ब्रेडवुड २ भट्टा समावेस भएको दोस्रो आणविक महशुल मुद्दाको लागि नजिर स्थापित गर्न सक्‍छ भन्ने आशा गरेका छन् ।
"
40,"नदीहरू नेपालका सबैभन्दा ठूला प्राकृतिक स्रोतहरू हुन्।
"
41,"जापान अटोमोबाइल अधिकृत बिक्रेता संघले अक्टोबरमा जापानको कार , ट्रक र बसहरूको आन्तरिक बिक्री एक वर्षअघिको भन्दा १८ % बढेर महिनाको लागि कीर्तिमान ५००,००४ संख्या पुग्यो ।
"
42,"लगानीको क्षेत्रगत बाँडफाँडको अनुमान गर्दा आठ वटा प्रमुख क्षेत्रहरुको विद्यमान र सम्भावित पूँजीको उत्पादकत्वको विस्तृत विश्लेषण गरी हेरिएको छ।
"
43,"आजका समस्याहरू केके हुन्?
"
44,"मिलले किसानहरूलाई करिब १.१ अर्ब तिर्न बाँकी छ।
"
