,0
0,"भारत र नेपालमा 'क्रान्ति'
"
1,"रियो दि जेनेरियो राज्य पनि एक अभूतपूर्व बजेट संकटको माध्यमबाट गुज्रिरहेको छ: बारुणयन्त्रका कर्मचारी सहित सार्वजनिक सेवाका कर्मचारीहरूको तलब निरन्तर कटौती भएको छ। 
"
2,"हजारौं पटक सेयर गरिएको एउटा पोस्टमा, एक ट्वीटर प्रयोगकर्ताले ""शिटहोल"" शब्दको चर्चा बारे पूर्णतया बेवास्ता गरिएको कुरा प्रति संकेत गर्दै सार प्रस्तुत गरेका छन् - ट्रम्पको टिप्पणी खुल्लमखुल्ला नस्लवाद: 
"
3,"म जातीयता मन पराउँदिन किनकि म यसलाई बर्बरता ठान्दछु, चाहे त्यो अश्वेत या श्वेत व्यक्तिबाट गरिएको होस्। 
"
4,"जुलाई १६,२०१८ का दिन संसारभरका नेटिजेनले अकिरा प्रदर्शनको तीसऔं वर्षगाँठ मनाए, एक अभूतपूर्व चलचित्र जसले क्रान्तिकारी परिवर्तन ल्यायो र एनिमेसनलाई अँगिकार गर्न प्रेरित गर्यो । यस उत्सव मनाउन जापानी तथा अन्य देशका प्रशंसकहरूले चलचित्रको आफ्ना मनपर्ने दृश्यहरू सेयर गरे-तीस वर्षदेखि अहिलेसम्म पनि किन अकिरा यति धेरै मानिसहरूका लागि चित्ताकर्षक बनिरहेको छ। 
"
5,"ग्वारुल्योसको एक विद्यालयको पर्खाल। जेस्सीका सूजा/म्युरल एजेन्सीको फोटो 
"
6,"शहरको उत्तरी भेगस्थित साँस्कृतिक केन्द्रको छेवैमा पेन्ट गरिएको भित्तेचित्र। यसका सिर्जनाकार मोन्स्टर एक्टोप्लाज्माका नामले चिनिन्छन्। 
"
7,"के तपाईलाई अन्य देशका यस्तै अकाउन्टका बारेमा थाहा छ? हामीलाई तिनीहरूबारे बताउनुहोस्। 
"
8,"जापानको चिडियाखानाबाट रिसाएर फुत्केको चाचा चिम्पाञ्जीको चर्तिकला 
"
9,"यस बेला श्रीषा साँच्चै नै खुशी देखिन्छिन्। 
"
10,"माछा मार्नका लागि सम्पूर्ण समुदाय एक जूट भएको क्षण हेर्नलायकको हुन्छ। 
"
11,"विश्व बैंक (साथै मिडिया आउटलेटको सूचना जस्तै रेडियो फ्रान्स इन्टरन्यासनल) ले प्रकाशित गरेको गरिबी सूचकांकमा माडागास्कर विश्वको अति गरिब देशहरुमध्येमा पर्दछ
"
12,"२०११-२०१२ मा पनि होर्न अफ अफ्रिका तीब्र खडेरीको मारमा परेको थियो जसले गम्भीर खाद्य असुरक्षा बढायो अनि १ करोडभन्दा बढी मानिसको जीवन खतरामा पर्‍यो
"
