,0
0,"The connection type used by gnome-phone-manager
"
1,"The base directory is invalid. 
"
2,"Please fix it or use gnomecc to choose another directory.
"
3,"Name of theme RC file to load
"
4,"Sort directories first
"
5,"Kanji radical information does not seem to be installed (file kiten/ radkfile), this file is required for this app to function
"
6,"This database contains no tables
"
7,"Set step size
"
8,"You are searching.
"
9,"File does not appear to be a valid sheet:
"
10,"Create New Wireless Network
"
11,"Portable Players - MTP
"
12,"search: You must provide at least one search term
"
13,"Unable to find docid in the help path
"
14,"Offering to send to
"
15,"Set Image or Frame Filename
"
16,"Expire unread messages after
"
17,"Could not create publish thread.
"
18,"Selects the color of the non-metal elements
"
19,"'Print header' 
"
20,"If this checkbox is enabled, the printout of the HTML document will contain a header line at the top of each page. 
"
21,"This header contains the current date, the location URL of the printed page and the page number. 
"
22,"If this checkbox is disabled, the printout of the HTML document will not contain such a header line.
"
23,"Validate password against the following usernames if the client cannot supply a username:
"
24,"Show categories field in the event/meeting/task editor
"
25,"Could not connect to data source.
"
26,"Sort images by Exif DateTime tag
"
27,"Do you really want to trash?
"
28,"Whether the assistant window should be maximized
"
29,"invalid email address
"
30,"The destination folder is inside the source folder.
"
31,"The Python interpreter caught an error during the execution of your script. Please fix the script and click the Finish button again.
"
32,"Could not open file for reading: 
"
33,"Couldn't allocate memory for context buffer
"
34,"You can correct data in this row or use ""Cancel row changes"" function.
"
35,"This means that although the resource, , was able to be opened, an error occurred while writing to the resource.
"
36,"Reset the widgets docking layout to default
"
37,"Do you want to open it in Text View?
"
38,"Synchronize Images with Database
"
39,"Could not find a GStreamer CD source plugin
"
40,"Same as --close, but exits server mode too
"
41,"One field is not part of the merge zone!
"
42,"Rename the current layer
"
43,"Black pullout (%):
"
44,"Subtract the layer's alpha channel from the current selection
"
45,"Finds the previous occurrence of the search string
"
46,"Unable to Launch Process
"
47,"Encryption preference:
"
48,"Could not add calendar time zone
"
49,"Transaction has already started.
"
50,"Toggle whether the Milky Way contour is drawn in the sky map.
"
51,"Unable to start ksplash.
"
52,"The name of an individual, institution, or organization responsible for the funding of a project or text
"
53,"Whether this tag affects the foreground color
"
54,"The movie could not be read.
"
55,"Here you can configure what the Konqueror file manager will do when you click on a file belonging to this group. Konqueror can display the file in an embedded viewer or start up a separate application. You can change this setting for a specific file type in the'Embedding 'tab of the file type configuration. Dolphin shows files always in a separate viewer
"
56,"KWord Microsoft Write Export Filter
"
57,"failed during read of `control' component
"
58,"The output folder exists, but it is not writable. Please set the appropriate permissions or choose another folder.
"
59,"Save selected keys as a file
"
60,"Disable save to disk
"
61,"These are the bookmarks just imported.
"
62,"Whether to use the label text to create a stock menu item
"
63,"snap gradient angle
"
64,"The identity of the remote computer is unknown.
"
65,"Failure: Remote does not support proposed KE group
"
66,"Couldn't read list of sources
"
67,"Cannot download the DTD from .
"
68,"This report document does not handle output
"
69,"Cannot start new display
"
70,"Error: No search handler for document type.
"
71,"Enter a descriptive name next to the emblem. This name will be used in other places to identify the emblem.
"
72,"This list box shows which sites you have decided to accept a certificate from even though the certificate might fail the validation procedure.
"
73,"Open terminal in file location
"
74,"Didn't get all lines of PCX image
"
75,"Failed to start the system daemon
"
76,"Error writing file:
"
77,"User/ group database locations
"
78,"Could not start process: 
"
79,"There was a problem opening the file.
"
80,"The playlist could not be parsed, it might be damaged.
"
81,"Wrong subnetwork specification.
"
82,"unable to check for existence of archive `%.250s'
"
83,"Only local files are supported currently
"
84,"Adjust levels automatically
"
85," ( - x Pixels)
"
86,"Number of units for determining a default reminder.
"
87,"Specify which font to use for editing of the main table.
"
88,"If this option is enabled, the preview area will split horizontally. The same part of the original and the target image will be shown side by side.
"
89,"You must wait longer to change your password
"
90,"Cannot open file 
"
91,"Specify which font to use for displaying pronunciations using phonetic symbols.
"
92,"library only takes 1 argument, not .
"
93,"Another GIMP instance is already running.
"
94,"Save & Scan Parameters
"
95,"Writing to socket failed.
"
96,"The key used to move south.
"
97,"Start Event - Rule
"
98,"Incoming RFB Tube
"
99,"Planned finish time
"
100,"Whether information about all file systems should be displayed
"
101,"FX 4 - Atmosphere
"
102,"Key file does not have key in group
"
103,"Do not enable pango markup
"
104,"Speaks the current flat review line.
"
105,"Horizontally aligned zener diode
"
106,"Synchronize contact info and images from Pidgin buddy list
"
107,"Enter the new package sorting mechanism for this display:
"
108,"Whether to pass a proper state when drawing shadow or background
"
109,"Select the second asymptote of the new conic...
"
110,"Select the floppy drive.
"
111,"Move the current selection to the home folder
"
112,"Successfully downloaded directory server contents.
"
113,"The MusicBrainz server to use
"
114,"Received an instant message
"
115,"Couldn't list files
"
116,"Go back to the folder with unread messages
"
117,"Default width
"
118,"Open files saved with XFIG
"
119,"Unable to find
"
120,"CJK Symbols and Punctuation
"
121,"The movie could not be recorded.
"
122,"Active call to
"
123,"Add a new dictionary source
"
124,"Desktop & switch delay:
"
125,"This changes the font which is used for all the text in the login manager except for the greeting and failure messages.
"
126,"Lock the curtail
"
127,"Where the window could be decorated by the window manager
"
128,"Smoothing Y gradient
"
129,"Change segments to curves
"
130,"Charcoal drawing image effect plugin for digiKam
"
131,"Dark wins!
"
132,"When selected, all titlebar menu buttons will have the application icon shown. If not selected, the current theme's defaults are used instead.
"
133,"America/ Port-au-Prince
"
134,"The folder could not be created
"
135,"This function returns the probability quantile function, i.e., the inverse of the cumulative distribution function, of the chi-square distribution.
"
136,"Convert reference to to copy
"
137,"Alsa Modular Synthesizer
"
138,"Multiply rand. value (0,2)
"
139,"Error trashing file:
"
140,"True if the element's text contains a filename
"
141,"Signing key not in key ring
"
142,"Switch to Previous Desktop
"
143,"Primary key's field cannot be empty.
"
144,"Hide items that are past due date
"
145,"& Enhanced: Convert to (X)HTML with CSS
"
146,"ON: Descending deform action from workpoint (full) to radius (zero). Descend by power of intensity.OFF: Linear deform action inside the radius
"
147,"Do you want to remove item from collection?
"
148,"Assign Color Profile...
"
149," of  operations completed
"
150,"The same board state has occurred three times (threefold repetition)
"
151,"Flip the image vertically
"
152,"Objects to design GRAFCET charts
"
153,"Enter Key Passphrase
"
154,"Would you like to overwrite it?
"
155,"Cannot move or copy folder  because it is not completely copied itself.
"
156,"Procnames start lines
"
157,"Which side of the notebook holds the tabs
"
158,"Choose autocomplete for single match
"
159,"Can't do modulo invert on complex numbers
"
160,"360 DPI Microweave Unidirectional
"
161,"44 Inch Roll Paper
"
162,"No GdaDataHandler available for this type
"
163,"Allow execution of scripts
"
164,"Select and transform objects
"
165,"Black Level (Black cartr. only)
"
166,"Resize layer(s) to image size
"
167,"Download media as soon as it becomes available
"
168,"Subtract two polynomials (as vectors)
"
169,"Save bookmarks.
"
170,"Retro Analog - Modeling Softsynth
"
171,"Toggle window on all workspaces or one
"
172,"LDAP Group RDN prefix
"
173,"Enter how long in advance of the main alarm to display a reminder alarm.
"
174,"Ivano-Frankivs'ka oblast '
"
175,"inverted question mark
"
176,"Distance from the center of the image determines the size of stroke
"
177,"Database needs to be upgraded from version to version. Please backup database before the upgrade.
"
178,"Open With...
"
179,"This is a sample message in a sample dialog
"
180,"Cannot retrieve calendar address
"
181,"Show splashscreen
"
182,"Configuring team connection...
"
183,"paragraph unselected up from cursor position
"
184,"The proxy configuration script returned an error: 
"
185,"Select Data Types
"
186,"Optional image filenames/ urls to show
"
187,"Server's port number to be used for connecting to a database project. Ignored if a shortcut filename is provided.
"
188,"Vertical spacing between rows (px units)
"
189,"Set the playback volume
"
190,"Download has been re continued
"
191,"The key  can not be used here because it is already in use.
"
192,"Lock selection to image edges
"
193,"Choose Application for 
"
194,"Cache file for mailbox will be repaired
"
195,"& Keep original charset when replying or forwarding (if possible)
"
196,"Alternate the sign of scales for each column
"
197,"While typing in the text area, you may be presented with possible matches. This feature can be controlled by clicking with the right mouse button and selecting a preferred mode from the Text Completion menu.
"
198,"Show camera white balance settings
"
199,"The neutron is a subatomic particle with a mass which occurs in the nucleus of an atom.
"
200,"The handler for ""callto"" URLs
"
201,"Authentication mechanism is too weak
"
202,"Create a new tab in an existing window rather than creating a new window
"
203,"Enable Break point
"
204,"There was an error launching the default action command associated with this location.
"
205,"Re-read XML Menus and store them in the database
"
206,"& Edit...
"
207,"Send to & Back
"
