,0
0,"52 woolen carpet export. Increase by 5 percent
"
1,"( Gorkhapatra Reporter )
"
2,"Kathmandu , May 6
"
3,"On the withdrawal of the Nepalese Nepalese wool also, the first round of the fiscal year has increased in the current financial year.
"
4,"Probability of growth :
"
5,"Fiscal year 2043.
"
6,"The 44th woolen carpet is the first place in the Overseas Removal Trade business.
"
7,"The main figure of the Center, Diwakar Risal
"
8,"The current growth rate of woolen carpet withdrawal remains
"
9,"By the end of the current fiscal year, three billion rupees have been expected to be exhausted.
"
10,"According to Central Gaal Industry Association Chairman Vijay Bahadur Shrestha , it is not possible to predict how many woolen garbage is cleared throughout the current financial year.
"
11,"If such a hurry spread, the extraction will have a bad effect.
"
12,"Policy Problem :
"
13,"According to the union , withdrawal of decline in the first floor of Manassar has been reduced to $ 72 million in the ' floor price ' floor of the floor .
"
14,"And the same garbage is now more than one and a half square square meters.
"
15,"Before the ' floor price ' was US $ 67 billion.
"
16,"No change has been made between the carpet withdrawers with changed floor value.
"
17,"Some withdrawers are demanding to reduce the ' floor value ' , and some withdrawers are in favor of reducing the value.
"
18,"According to President Shrestha, it is necessary to be valued by the specific costs of the producers and exiters.
"
19,"There is no solid evaluation process yet.
"
20,"Due to floor pricing, the glue can not be interrupted in the case of export.
"
21,"Suggestion sub-committee
"
22,"Meanwhile, a sub - committee has been formed to present the relevant suggestions, including the floor value of the woolen corridor, in connection with the coordination of the director of the clearance service center, Hariprasad Sharma .
"
23,"According to the Finance Ministry, the idea of ​​entrepreneurship is to reduce the deformation of economy
"
24,"Kathmandu , May 6
"
25,"Finance Minister Dr. Devendra Raj Pandey has said that his efforts are to reduce the deformities of the economy till last year.
"
26,"DR. Pandey was talking to you here today.
"
27,"After handling the post last year, the management of the economy will be made until the elected government is formed
"
28,"The types of uncontrolled demands ,
"
29,"Political pharmaceuticals of wise advice
"
30,"In the first eight months of the current fiscal year, the total expenditure of Mr. 5 was compared to this period of the previous financial year . Information is increased by 5 percent.
"
31,"This year will produce a kind of transition in little achievement is not a state of anarchy, he said.
"
32,"He said - Although the money flow was low in the private sector activities last year, the government was more expanded with more debt than the government had.
"
33,"The Army - removed from the Kuwaiti border
"
34,"Kuwait - City , April 28
"
35,"US and Iraqi forces will start withdrawal from Iraq - Kuwaiti border zone on August 25.
"
