,0
0,"Present Economic Conditions
"
1,"Historical Background
"
2,"The history of planned process of economic development in Nepal is short. Before 1951, some development activities were undertaken but their scope was very limited.
"
3,"Among them were limited programmes to develop power and drinking water facilities in Kathmandu, health programmes in a few districts, some schools, and a college, a commercial bank, a few roads and some small-scale irrigation works.
"
4,"The abolition of slavery in 1925 was the most significant social measure.
"
5,"But as a result of various political and geographic conditions, Nepal remained isolated behind other countries in its social and economic development.
"
6,"However, the economic stimulus of World War II led to the establishment of the first modern industrial units Nepal.
"
7,"Many of these failed to survive the immediate post-war period because of poor management and lack of technical knowledge.
"
8,"Only very recently attention has been given to feasibility studies and the other prerequisites of sound industrial development.
"
9,"Even after the political changes of 1951-52 relatively little progress was made.
"
10,"The difficulties of changing the political and administrative structure were largely responsible.
"
11,"First Five Year Plan (First Plan)
"
12,"Serious efforts to plan economic development took place after the establishment of a Planning Board in 1955.
"
13,"The First Five Year Plan, prepared by the Board, covered the 1956-61 periods.
"
14,"Because of the Bird’s limited knowledge and experience, there were serious shortcomings in the Plan itself. Despite this, some significant results were achieved, although expenditures were only Rs. 210 millions or Rs. 42 millions annually.
"
15,"But the Plan did stimulate public interest in, and support of planning. Government was made aware of the requirement for planned development.
"
16,"There was significant progress in the fields of education and health. Overall, however, the plan made little4 headway creating the necessary base for economic development.
"
17,"The Three Year Plan (Second Plan)
"
18,"A significant result of the First Plan was the recognition of the conditions required for successful planning and project implementation.
"
19,"It was realized that a plan formulated without detailed knowledge of actual conditions and the development potential of the several was of limited usefulness.
"
20,"A plan must, moreover, take full account of administrative relationships and the limited financial and other resources available.
"
21,"At the time the Second Plan was prepared, knowledge of economic conditions in Nepal was still extremely limited.
"
22,"In the absence of survey and studies of natural recourses, agricultural output national income and other economic variables, existing economic conditions could not be accurately ascertained.
"
23,"It was not possible, therefore, to set overall targets and goals in quantitative terms.
"
24,"The absence in data also prevented the formulation of a long range perspective planning within which the Second Plan was to operate.
"
25,"Recognizing these limitations, Second Plan Sectoral targets were fixed in terms of Nepal’s ability to finance and imp lement the development programme.
"
26,"Because of the existing shortcomings, the Second Plan gave priority to activities which would the base for more comprehensive future plans.
"
27,"Emphasis was given to the collection of data on economic conditions organizational reform and improvement, and the development of the economic infrastructure.
"
28,"The planned outlay in the public sector was virtually achieved.
"
29,"Table 1 gives the financial allocations and actual expenditures during the Second Plan.
"
30,"Expenditures incurred for the forest resources and botanical surveys, mineral exploration, surveys of irrigation and power potential and in the transport sector are in the respective departmental totals.
"
31,"In the second year, development budget expenditures rose to Rs 147 million, In the final year expenditures were Rs 180 million, excluding projects supported by Indian Aid, which were added in th4 supplementary budget.
"
32,"In addition to administrative reform, land reforms were started during the Second Plan. Their purpose is to modernize agriculture and provide incentives for increasing production.
"
33,"Significant progress has been achieved in industry, transport and power.
"
34,"The present position of the several sectors of the economy is given in the following sections:
"
35,"Agriculture
"
36,"Nepal’s agricultural output depends very heavily on climatic conditions.
"
37,"During 1963-64, the second year of the Second Plan, whether conditions adversely affected agricultural output.
"
38,"In the first and third years, weather conditions were normal and did not adversely affect production.
"
39,"It is estimated, however, that agricultural output increased over the plan period as a whole as a result of programmes undertaken His Majesty’s Government.
"
40,"The expansion of existing units and the establishment of new factories have encouraged cash crop production with a resultant increase in output.
"
41,"Although still far from adequate, the agricultural extension services have has positive effects. These include improved seed, implements, fertilizers and plant protection facilities.
"
42,"Irrigation has also been provided on an additional 100,000 areas. Institutional improvements have also been made.
"
43,"The Agricultural Reorganization and the Cooperative Bank Acts of 1962 were steps in this direction.
"
44,"The Agricultural Reorganization Act was implemented in selected gram panchyats of Jhapa, Palpa and Chitwan dis tricts.
"
45,"With the establishment of new units and the modernization and expansion of existing plants, industrial output in selected sectors has increased significantly as shown in Table 3(A).
"
46,"The Census of 1961-62 showed an increase in the literary rate to 8.9 percent.
"
47,"Malaria eradication work has been completed the central zone of Nepal in which 2, 400,000 persons reside.
"
48,"Eradication work is underway in the eastern zone covering 1,300,000 persons. Smallpox and leprosy control programmes has been started.
"
49,"The maternity and child care programme has been explained. Efforts have been made to improve sanitary conditions.
"
50,"International Resources
"
51,"In the last few years, there has been considerable progress in the mobilization of international resources.
"
52,"Governmental revenue which was Rs 90 million in 1961-62 has increased to Rs 158 million by 1064-65.
"
53,"Because of the expansion of industrial activity and higher income levels, income from customs and excise taxes rose considerably.
"
54,"Receipts from land revenue rose with as upward adjustment of tax rates.
"
55,"Direct taxes have also been imposed and the receipts are rising. The establishment of new government corporations and better management of existing units have added to the divided income of government.
"
56,"As a result of this striking expansion of governmental receipts, more internal resources have been made available for the development budget.
"
57,"In the Second Plan period, this trend was reversed. The Plan called for financing Rs 670 million of which 110 million or 17 percent of proposed expenditures were to be met by the internal resources.
"
58,"The actual contribution amounted to 24 percent of the total. Trade
"
59,"During the Second Plan, efforts were made to diversify trade. It is not possible to measure the success of these efforts since the required data for recent years are not yet available.
"
60,"In 1957-58, imports were recorded at Rs 160 million and by 1960-61 they had increased to Rs 400 million.
"
61,"Although the trade is still predominantly with India, trade with other countries is gradually increasing.
"
62,"This is below the per capita incomes of India, Pakistan and Ceylon which, in 1963, were estimated at $73, $74 and $ 137 respectively.
"
63,"In the United States, at the other extreme, per capita income is over $2,500.
"
64,"Ninety-three percent of the population of Nepal is dependent on agriculture which contributes 65 percent of gross domestic product.
"
65,"The industrial sector is just getting started and contributes a small fraction of total output. Its activities are confined mostly to processing agricultural products.
"
66,"Transport, communication and power facilities are inadequate to meet Nepal’s needs.
"
67,"The literacy rate is among the lowest in world and life expectancy at birth is 32 years.
"
68,"The low income level of Nepal indicates that savings arte also very small.
"
69,"This limits the volume of investments which can be financed internally and makes it even more imperative that the limited resources be used productively for the benefit of the nation. 9The export figures do not measure actual exports since raw jute, timber, leather and other products which did not have to pay an export tax were not recorded.
"
70,"In addition, taxable commodities were, to some extent, smuggled across the border and thus not recorded. The Central Bureau of Statistics estimates the exports of 1961-65 at Rs 4000.0 million instead of the recorded Rs. 265 millions.
"
71,"These are licensing rather those actual values. Actual figures are undoubtedly smaller.
"
72,"CHAPTER II Objectives and Priorities
"
73,"As mentioned earlier, income levels are among the lowest in the world.
"
74,"1. The aim of the State shall be to promote the welfare of the people by securing and protecting as just social order which brings about harmony in the national life by integrating and consolidating the interests of different classes and professions from a comprehensive national outlook.
"
75,"2. Towards the fulfillment of the objectives laid down in clause (1) such policy, in particular, shall be followed as a result of which- a. All citizens may have equal opportunity and facility to develop their personality and to make economic progress ;
"
76,"b. Citizens may have reasonable and adequate means of livelihood ; and
"
77,"c. 	The ownership and control of the material resources of the community are so regulated as may bring about equitable distribution of wealth and as may best sub serve the common good and also afford reasonable protection and encouragement to private enterprise in the allotted sectors of industry and trade.
"
78,"The above objectives are intended to promote the welfare of the people of Nepal in the process of economic development. To increase total output is not enough.
"
79,"It is also necessary to distribute the output equitably. Although the primary objectives must of necessity be to increase productivity and total output, the distribution aspect must also be considered by a nation concerned with the welfare of its citizens.
"
80,"The Panchayat System and National Development
"
81,"For rapid economic development the social and political structure must stimulated rather than hinder the growth process.
"
82,"As Nepal’s own experience since 1960 has shown, political stability is one necessary condi tion.
"
83,"In the social field, all citizens should have an opportunity to develop their capacities to the fullest extent and be able to secure gainful and productive employment.
"
84,"To accomplish the desired results, conscription for work and distinction based upon caste, religion and sex must be eliminated.
"
85,"Education, medical care employment opportunity must be made available to all.
"
86,"To achieve the goal of social justice, steps should be taken to eliminate gradually the concentration of wealth in a small group and to reduce the income gap between the few and the many.
"
87,"Care must be taken, however to ensure that adequate incentives for work and investment are also provided.
"
88,"To accomplish this, new organizations need to be established and operated under necessary rules and regulations.
"
89,"Political Stability, the elimination of socially undesirable systems, and changes in organizational structure are imperative for the success of any development plan.
"
90,"There must also be a gradual evolution of the political, social and economic system in response to changing conditions to allow the necessary flexibility while adhering to the basic social objectives.
"
91,"Such a system must be close to the people and responsive to their needs. Its scope should not be restrictive but should cover all aspects of social and economic activities.
"
92,"The panchayat system is the medium through which the constitutional objectives are to be met.
"
93,"More specifically, the panchayat structure designed to create the institutional arrangements necessary for the political, social and economic growth of the nation.
"
94,"It will involve the people at all levels of administrative and executive action within the country.
"
95,"In view of the basic objectives, all important activities must be undertaken with in the framework of the panchyat system. His Majesty’s Government has committed itself to a decentralization policy which will further strength the zonal, district and village panchayats.
"
96,"The Preamble to the Constitution states-  Whereas it is desirable in the best interest and for the full development of the Kingdom of Nepal and of the Nepalese people to conduct the government of the country in consonance with the popular will, and originating from the very base with the active cooperation of the whole people’ it embodies the4 principles of decentralization.
"
97,"The panchayat system is not only a framework but also the means for the implementation of the development effort.
"
98,"The success of any nation-wide development plan depends upon the active support and cooperation of the people.
"
99,"The contribution of the panchayat system in mobilizing local resources and labour has also been important.
"
100,"The Long Run Perspective
"
101,"In order to plan effectively many countries prepare long term perspective plan covering up to 25 years.
"
102,"Nepal cannot prepare such a long term plan because of the lack of necessary statistical data.
"
103,"These programme are, a part of a continuing process reflecting past activities as well as future plans. Therefore, long term goals for each sector are essential.
"
104,"These are particularly necessary in such as power, transport and education. A long term target of doubting national income in fifteen years has been set.
"
105,"This may appear ambitious in terms of past achievements. The target appears feasible, however, on the basis of the experience of other developing nations.
"
106,"In view of the present level of utilization of available resources, such a rate of growth neither does nor appears feasible in the near future.
"
107,"The rate can, however, be expected to rise above it over the fifteen year period.
"
108,"The rate of population increase for the past few years in estimated at two per cent and is expected to remain at this during the Third Plan.
"
109,"It is estimated to rise to 2.2 per cent in the following five years and then to 2.4 per cent. Based upon the population projection, per capita real income will increase 62 per cent by 1980.
"
110,"As a result of steps taken during the Second Plan, it is now possible to determine long term targets in  some sectors of the economy.
"
111,"The development of transport and power are two basis requirements for economic growth.
"
112,"Roads are the primary means of transport on Nepal. A long term road development programme has been prepared which calls for 2,500 miles of road construction over the twenty year.
"
113,"Free and compulsory primary education will be provided nationally by 1980 in accordance with UNESCO targets.
"
114,"In some sectors, major projects will take relative long periods of time to complete.
"
115,"One major hydro-electric project on the Karnali, for example, may take eight to ten years.
"
116,"To coordinate these several programmes, a long term perspective plan is needed.
"
117,"Third Plan Targets
"
118,"The national income target of the Third Plan is to achieve a total increase of 19 per cent.
"
119,"This will give a nine per cent increase in per cent income over the plan period, assuming a population growth of two per cent per year.
"
120,"This is not ambitious in terms of doubting income over the next plan periods, but it does appear ambitious in the light of the present absorptive capacity of the economy.
"
121,"The Plan calls for total expenditure of Rs 2,500 million in public and private sectors.
"
122,"Of this, Rs 520 million will be spent on the private sector, Rs 240 million by district and village panchayats on district and local development activity, as distinguished from public sector expenditures by the central government. During the Second Plan, development expenditures in the public sector averaged Rs 200 million per year as compared with the projected Third Plan average of Ts 350 million.
"
123,"In the last year of the Second Plan, however, expenditures in the public sector alone amounted to Rs 260 million.
"
124,"The Plan must, however, encompass programmes designed to meet immediate problems as well as those which are essential to future growth.
"
125,"The experience of India demonstrates that rapid economic growth cannot occur unless agriculture is properly developed.
"
126,"Unless food production expands, price rise and inflationary pressures becomes acute. Institutional Reform
"
127,"One of the objectives of economic development in Nepal is to move labour out of agriculture in to other productive activities. A rapid expansion of agricultural output will enable Nepal to overcome her present dependence on agriculture.
"
128,"It is necessary not only to increase investment on agriculture but also to expand investment opportunities outside of agriculture. The feudalistic system in the rural areas if Nepal must be brought to an end.
"
129,"The economic condition of the tiller is adversely affected by insecurity of tenure, high rents and high interest rates. A primary objective of the Third Plan, therefore, is to improve the condition of the tiller by effectively implementing the land reform programme.
"
130,"Economic Infrastructure It is also essential to develop transportation and power.
"
131,"Their development will increase agricultural output and lead to a more efficient market system. Transport difficulties have been among the primary barriers to development, particularly of the hill region of Nepal.
"
132,"Only the first steps have yet been taken in transport and power development. Industrial Development
"
133,"Industrialization is an essential component of economic growth. However, development of industries requires a reasonable level of agricultural and infrastructure development.
"
134,"The Plan, therefore, aims at developing industries wherever feasible. Industrial development can occur in both the public and the private sector.
"
135,"In the light of the limited resources available, it is not desirable to restrict the development to one sector. Special efforts will be made in the public sector to ensure the establishment of basic and essential industries.
"
136,"Financial and technical assistance is being made available to stimulate development. Foreign Trade
"
137,"International trade occupies an increasingly important role as economic growth and development take place. Associated with the growth is a rising demand for capital goods and raw materials which must be important.
"
138,"Therefore, Nepal will have to earn and spend more foreign exchange, particularly convertible currencies, in the years ahead. India is Nepal’s primary and predominant trading partner.
"
139,"Nepal’s exports are prese ntly limited to a few products.
"
140,"In order to diversify trade, agriculture and industry must be developed to produce additional goods for export. In addition, new market for Nepal’s exports must be developed.
"
141,"Social justice depends upon the allocation of the benefits of economic growth to large numbers of people. If the benefits are secured only by a small group, the active support and cooperation of the people cannot be secured.
"
142,"The land reform programme is one major measure designed to improve the economic condition of the people of Nepal.
"
143,"The progressive direct taxes which have been introduced are also designed to distribute benefits more widely.
"
144,"The Mulki Ain, a legal code designed to eliminate individual distinctions based upon caste and religious distinctions, was adopted in the Second Plan and will be supported vigorously in the Third Plan.
"
145,"Social justice covers more than an equitable distinction of income and land ownership.
"
146,"Education, health and other social services also help raise the living condition of the people.
"
147,"The manner in which these measures will be stressed will be outlined in later sections.
"
148,"To the extent that the panchayat system is effectively utilized, facilities will be made available to the largest number of people.
"
149,"By initiating programmes in regions, the benefits would also be dispersed geographically.
"
150,"Over-emphasis on equitable income distribution may discourage potential entrepreneurs and restrict the economic growth of the nation.
"
151,"Emphasis must be placed on expanding opportunities for all citizens of Nepal.
"
